country																																																																																																																																
Brazil												69.780	74.800	81.980	87.240	91.090	95.610	98.810	105.140	111.800	113.850	109.220	111.050	113.820	121.140	129.350	135.400	140.670	142.560	145.440	140.210	142.860	144.350	147.960	155.760	161.090	169.660	178.280	182.550	186.690	187.440	190.710	195.760	198.980	210.040	215.330	222.820	235.460	248.580	240.450	265.880	270.040	281.740	293.730	303.180	297.980	
Brunei Darussalam												0.180	0.180	0.340	0.590	0.740	0.980	1.060	0.990	1.030	1.350	1.300	1.400	1.480	1.700	1.780	1.570	1.610	1.330	1.550	1.730	1.950	2.100	2.020	1.880	2.250	2.260	2.340	2.330	2.370	2.380	2.210	2.160	2.500	2.300	2.220	3.150	3.230	3.540	3.040	3.240	3.870	3.830	3.040	3.550	2.720	
Bulgaria												19.020	19.410	20.500	21.380	23.240	24.350	26.010	27.190	28.250	28.390	28.320	29.510	30.130	30.350	30.640	30.910	30.600	31.330	30.420	28.220	21.900	20.460	21.940	21.280	23.090	22.960	20.810	20.030	18.320	18.610	19.390	18.900	19.360	18.830	19.900	20.460	20.120	19.850	17.510	17.870	19.230	18.360	16.920	17.880	18.610	
Cambodia																																				2.840	2.970	3.010	3.430	3.440	3.410	3.430	3.990	4.110	3.390	3.430	3.430	3.470	3.440	5.090	5.330	5.540	5.790	5.980	6.360	7.040	
Cameroon												2.700	2.750	2.820	2.890	3.040	3.080	3.300	3.410	3.530	3.660	3.840	4.010	4.160	4.290	4.460	4.520	4.610	4.750	4.930	4.980	5.030	5.080	5.260	5.440	5.540	5.670	5.840	6.000	6.050	6.310	6.380	6.740	7.010	7.230	7.270	6.720	6.340	6.400	6.910	6.970	6.930	7.030	6.680	7.500	7.790	
Canada	76.140	78.710	82.860	89.020	94.760	101.420	105.710	113.440	121.800	128.080	138.100	141.350	152.500	159.350	161.710	165.950	171.040	176.320	181.200	190.280	191.930	187.520	180.180	179.510	188.690	192.990	196.320	202.880	211.260	217.210	211.290	210.770	215.670	222.900	230.770	233.830	238.460	240.930	239.690	246.480	253.620	249.920	250.690	263.950	270.460	272.400	276.690	278.410	272.740	262.480	265.250	270.730	267.820	270.830	278.820	270.190	278.260
Chile												8.700	8.840	8.500	8.440	7.630	8.080	8.380	8.670	9.170	9.480	9.630	8.830	9.130	9.600	9.580	10.010	10.330	11.700	13.110	14.010	14.330	15.490	15.880	17.070	18.340	20.320	22.750	23.560	25.030	25.170	24.700	25.570	25.830	27.510	28.360	29.520	30.620	30.330	29.520	30.850	33.610	37.200	38.690	35.240	36.110	37.520
China (People's Republic of)												391.060	411.330	426.610	437.720	483.390	499.940	544.570	590.100	599.860	598.020	593.500	612.070	636.410	675.050	691.330	716.040	752.780	793.550	810.030	870.680	847.950	876.790	928.760	972.730	1 044.410	1 073.460	1 073.030	1 078.390	1 098.580	1 129.840	1 168.260	1 245.760	1 419.620	1 614.630	1 781.390	1 948.760	2 097.560	2 153.990	2 296.940	2 536.280	2 721.490	2 818.570	2 908.730	2 953.520	2 973.250	
Chinese Taipei												10.000	11.500	13.110	12.860	14.310	17.790	19.340	23.150	25.400	27.900	25.890	26.880	30.420	31.960	33.190	35.820	38.800	42.510	44.850	47.750	51.580	53.730	57.550	60.340	63.520	66.840	70.580	75.400	78.550	84.840	88.930	93.180	96.420	101.160	102.370	104.420	110.080	105.590	102.740	111.440	109.390	106.530	108.230	110.230	108.820	
Colombia												13.850	13.860	13.950	14.770	15.440	16.050	16.530	16.460	16.070	17.710	17.930	18.440	19.050	19.690	19.990	21.760	22.500	23.180	23.370	24.220	24.490	25.050	26.200	27.120	27.600	28.270	27.430	28.730	25.690	25.810	25.710	25.200	25.730	26.000	27.080	28.470	28.290	29.620	30.700	31.200	31.250	31.550	33.650	33.990	33.780	
Congo												0.510	0.530	0.530	0.540	0.550	0.610	0.580	0.600	0.600	0.620	0.640	0.680	0.760	0.730	0.760	0.750	0.760	0.740	0.770	0.790	0.820	0.810	0.820	0.700	0.800	0.760	0.730	0.730	0.710	0.710	0.800	0.800	0.950	1.000	1.090	1.420	1.260	1.350	1.540	1.680	2.230	2.560	2.630	2.630	2.660	
Costa Rica												0.810	0.860	0.940	0.920	1.000	1.000	1.170	1.260	1.310	1.260	1.180	1.150	1.130	1.230	1.260	1.320	1.410	1.450	1.610	1.680	1.780	2.300	2.340	2.310	2.360	2.370	2.400	2.380	2.630	2.870	2.890	3.040	3.260	3.870	3.870	4.180	4.510	4.590	4.560	4.650	4.650	4.730	4.860	4.930	4.930	
Côte d'Ivoire												2.450	2.610	2.690	2.810	2.960	3.190	3.250	3.480	3.520	3.570	3.560	3.540	3.460	3.520	3.700	4.100	4.190	4.270	4.420	4.350	4.470	4.880	5.050	5.170	5.150	5.790	5.910	5.890	7.030	6.790	6.530	6.980	6.600	9.300	9.620	9.460	10.180	10.230	9.380	10.160	11.650	12.630	13.530	13.870	12.980	
Croatia																															9.460	8.170	7.480	7.730	7.580	7.820	8.070	8.530	8.820	8.710	8.390	8.700	8.960	9.610	9.600	9.750	9.690	10.080	9.830	9.500	9.390	9.160	8.620	8.440	8.040	8.400	
Cuba												10.490	10.100	10.790	11.420	11.730	12.310	13.390	14.190	14.550	14.640	14.730	14.930	15.730	15.390	15.290	15.240	15.890	16.690	18.310	17.410	14.400	12.620	10.540	10.860	10.860	11.860	12.190	11.420	11.880	12.740	12.440	11.600	11.540	11.280	10.670	10.650	10.140	10.770	11.410	12.340	11.610	11.990	11.530	11.680	12.050	
Cyprus												0.590	0.750	0.780	0.590	0.560	0.660	0.720	0.760	0.820	0.860	0.850	0.860	0.900	0.930	0.920	1.040	1.180	1.210	1.260	1.370	1.390	1.570	1.680	1.920	1.690	1.880	1.850	1.980	1.990	2.140	2.110	2.140	2.330	2.180	2.220	2.310	2.440	2.580	2.530	2.440	2.370	2.230	1.930	1.970	2.010	
Czech Republic												45.380	45.530	45.160	41.900	43.680	44.940	48.050	45.370	48.410	46.960	47.050	47.790	47.970	48.980	49.250	50.060	51.510	50.490	49.100	49.790	45.240	44.040	42.670	41.200	41.740	43.050	43.380	41.980	39.150	41.170	42.260	42.840	44.720	45.760	45.240	46.270	46.200	45.300	42.570	45.130	43.520	43.270	43.230	41.970	42.150	41.380
