citizen,agedef,age,unit,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
TOTAL,REACH,TOTAL,NR,T,CH	82090 	88218 	90175 	86130 	86036 	96839 	96494 b	103881 	106196 	111103 	116631 	120653 
TOTAL,REACH,TOTAL,NR,T,CY	2192 	2778 	4106 	4474 	4797 b	4293 	4895 	18105 	25227 	24038 	17183 	14892 
TOTAL,REACH,TOTAL,NR,T,CZ	24065 	33463 	20500 	51478 b	61782 	61069 	55910 b	46106 	25894 b	28468 	25684 	38864 
TOTAL,REACH,TOTAL,NR,T,DE	628399 	639064 	636854 	737889 	286582 b	252456 	249045 	240001 	259328 	324221 	347162 	533762 be
TOTAL,REACH,TOTAL,NR,T,DK	45869 	46786 	41566 	38356 b	39899 	41456 	41593 	43663 	43310 	44426 	44625 	52654 
TOTAL,REACH,TOTAL,NR,T,EE	4610 	5527 	4384 	4406 	4658 	5294 	6214 	6321 	6740 	4637 	13003 b	13792 
TOTAL,REACH,TOTAL,NR,T,EL	38583 	38368 	40400 	43044 b	43686 	62041 b	92404 	124694 	117094 	106804 b	109351 	106535 
TOTAL,REACH,TOTAL,NR,T,ES	68011 	142296 	227065 	288432 b	380121 	403377 	409034 	446606 	532303 	400430 	343875 	327325 
TOTAL,REACH,TOTAL,NR,T,FI	12369 	12107 	12443 	13657 	12151 	11905 	12660 	13845 	13893 	15486 	16305 	18082 
TOTAL,REACH,TOTAL,NR,T,FR	: 	189403 b	220354 	239796 	264631 	269531 b	291594 	255922 	239813 	308775 	295911 	309805 
TOTAL,REACH,TOTAL,NR,T,HR	: 	7692 	9002 	10638 b	12355 	13017 	12699 	12877 	15262 	20858 	29651 	36436 
TOTAL,REACH,TOTAL,NR,T,HU	3658 	4314 p	4500 	9591 b	10483 	13365 b	15100 	22880 	34691 	42213 	43225 	39889 
TOTAL,REACH,TOTAL,NR,T,IE	34350 	44409 b	48040 	65934 	69672 	78099 	83049 b	81797 	76560 	71107 	67160 	62056 
TOTAL,REACH,TOTAL,NR,T,IS	3913 	4577 	7414 	9144 	6874 b	5459 	4812 	4758 	4372 	4052 	4046 	4159 
TOTAL,REACH,TOTAL,NR,T,IT	53931 	58407 	51113 	80947 	80597 	78771 	82461 	106216 	125735 	136328 	146955 	157065 
TOTAL,REACH,TOTAL,NR,T,KG	: 	34423 	54608 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,REACH,TOTAL,NR,T,LI	: 	: 	: 	490 b	455 	428 	467 	439 	497 	476 	468 	522 
TOTAL,REACH,TOTAL,NR,T,LT	57885 	32390 	30383 	25750 	38500 	83157 	53863 	41100 	38818 	36621 	44533 	50333 
