na_item,unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
B1GQ,CP_MEUR,CH	343498.6 	350695.6 	378248.1 	390207.4 	441085.7 	504020.9 	519716.4 	518379.5 	534923.7 	612168.9 	604455.9 	601016.0 
B1GQ,CP_MEUR,CY	16263.8 	17591.0 	19006.2 	18673.5 	19299.5 	19731.0 	19489.7 	18140.5 	17605.9 	17742.0 	18219.1 p	19213.8 p
B1GQ,CP_MEUR,CZ	123943.2 	138302.9 	161313.1 	148682.0 	156718.2 	164040.5 	161434.3 	157741.6 	156660.0 	168473.3 	176564.3 	192016.6 
B1GQ,CP_MEUR,DE	2393250.0 	2513230.0 	2561740.0 	2460280.0 	2580060.0 	2703120.0 	2758260.0 	2826240.0 	2932470.0 	3043650.0 	3144050.0 	3263350.0 
B1GQ,CP_MEUR,DK	225531.2 	233383.2 	241613.5 	231278.1 	243165.4 	247879.9 	254578.0 	258742.7 	265757.0 	271777.7 	277489.1 	288373.5 
B1GQ,CP_MEUR,EA	8752191.1 	9255507.8 	9496501.4 	9231678.6 	9487050.7 	9748408.7 	9782023.3 	9876969.9 	10120971.7 	10515849.9 	10790076.7 	11168630.4 
B1GQ,CP_MEUR,EA19	8905797.3 	9403064.3 	9636072.5 	9291508.6 	9547583.5 	9799886.3 	9837430.1 	9934758.5 	10157540.0 	10515849.9 	10790076.7 	11168630.4 
B1GQ,CP_MEUR,EE	13521.7 	16246.4 	16517.3 	14145.9 	14716.5 	16667.6 	17934.9 	18932.3 	19766.3 	20347.7 	21098.3 	23002.3 
B1GQ,CP_MEUR,EL	217861.6 	232694.6 	241990.4 	237534.2 	226031.4 	207028.9 p	191203.9 p	180654.3 p	178656.5 p	176312.0 p	174199.3 p	177735.3 p
B1GQ,CP_MEUR,ES	1007974.0 	1080807.0 	1116225.0 	1079052.0 	1080935.0 	1070449.0 	1039815.0 	1025693.0 	1037820.0 	1079998.0 p	1118522.0 p	1163662.0 p
B1GQ,CP_MEUR,EU28	12269019.1 	12997544.4 	13071822.2 	12315808.7 	12827959.8 	13200973.3 	13463409.4 	13577230.0 	14044632.1 	14798154.8 	14909071.9 	15326468.0 
B1GQ,CP_MEUR,FI	172614.0 	186584.0 	193711.0 	181029.0 	187100.0 	196869.0 	199793.0 	203338.0 	205474.0 	209604.0 	215773.0 	223522.0 
B1GQ,CP_MEUR,FR	1853267.0 	1945670.0 	1995850.0 	1939017.0 	1998481.0 	2059284.0 	2086929.0 	2115256.0 	2147609.0 	2194243.0 p	2228857.0 p	2287603.0 p
B1GQ,CP_MEUR,HR	40197.8 	43925.8 	48129.8 	45090.7 	45128.0 	44807.9 	43996.1 	43725.0 	43391.3 	44521.7 	46382.1 	48676.9 
B1GQ,CP_MEUR,HU	91792.0 	102169.1 	108121.5 	94262.5 	98826.0 	101317.0 	99502.4 	101886.6 	105573.9 	110722.9 	113730.8 	123494.6 
B1GQ,CP_MEUR,IE	184995.4 	197201.7 	187756.2 	170096.9 	167583.3 	171939.2 	175561.1 	180298.3 	194537.2 	262037.4 	275567.1 	296151.8 
B1GQ,CP_MEUR,IS	13633.5 	15584.3 	10797.6 	9268.5 	10050.7 	10583.0 	11122.3 	11699.0 	13047.6 	15276.8 	18361.9 	21192.7 
B1GQ,CP_MEUR,IT	1548473.4 	1609550.8 	1632150.8 	1572878.3 	1604514.5 	1637462.9 	1613265.0 	1604599.1 	1621827.2 	1652622.3 	1680948.1 	1716934.7 
B1GQ,CP_MEUR,LI	: 	: 	: 	: 	: 	: 	: 	4812.4 	5021.7 	5668.8 p	5631.1 e	: 
B1GQ,CP_MEUR,LT	24079.2 	29040.7 	32696.3 	26934.8 	28027.7 	31275.3 	33348.5 	34959.6 	36568.3 	37426.6 	38668.3 	41857.0 
B1GQ,CP_MEUR,LU	33808.4 	37178.9 	38128.6 	36976.5 	40177.8 	43164.6 	44112.1 	46499.6 	49993.0 	52101.9 	53004.8 	55377.6 
B1GQ,CP_MEUR,LV	17264.1 	22679.3 	24354.8 	18749.3 	17788.6 	20202.3 	22058.4 	22828.9 	23618.2 	24320.3 	24925.6 	26856.6 
B1GQ,CP_MEUR,ME	2169.6 	2689.1 	3103.3 	2993.9 	3125.1 	3264.8 	3181.5 	3362.5 	3457.9 	3654.5 	3954.2 	: 
B1GQ,CP_MEUR,MK	5472.2 	6094.5 	6772.1 	6766.5 	7108.3 	7544.2 	7584.8 	8149.6 	8562.0 	9072.3 	9722.8 p	10065.6 e
B1GQ,CP_MEUR,MT	5386.1 	5757.5 	6128.7 	6138.6 	6599.5 	6838.4 	7164.8 	7642.5 	8454.1 	9517.1 	10191.7 	11108.6 
B1GQ,CP_MEUR,NL	579212.0 	613280.0 	639163.0 	617540.0 	631512.0 	642929.0 	645164.0 	652748.0 	663008.0 	683457.0 	702641.0 p	733168.0 p
B1GQ,CP_MEUR,NO	275289.8 	293273.4 	317230.3 	278557.9 	324043.2 	358733.7 	397086.1 	393966.1 	376647.6 	348408.4 	335503.8 	351598.9 
B1GQ,CP_MEUR,PL	274602.5 	313874.0 	366182.3 	317082.9 	361803.9 	380241.7 	389376.8 	394733.8 	411005.2 	430054.7 	425980.2 	465651.6 
B1GQ,CP_MEUR,PT	166248.7 	175467.7 	178872.6 	175448.2 	179929.8 	176166.6 	168398.0 	170269.3 	173079.1 	179809.1 	185494.0 p	193048.6 e
B1GQ,CP_MEUR,RO	98418.6 	128617.8 	146106.0 	124141.0 	125735.6 	132590.0 	133511.4 	144253.5 	150357.5 	160313.7 	169771.5 p	187868.3 p
B1GQ,CP_MEUR,RS	24434.6 	29451.6 	33704.5 	30654.7 	29766.3 	33423.8 	31683.1 	34262.9 	33318.6 	33491.0 	34616.6 	36795.4 p
B1GQ,CP_MEUR,SE	334876.5 	356434.3 	352317.1 	309678.7 	369076.6 	404945.5 	423340.7 	435752.1 	432691.1 	449014.8 	465186.2 	477857.5 
B1GQ,CP_MEUR,SI	31561.2 	35152.6 	37951.2 	36166.2 	36252.4 	36896.3 	36076.1 	36239.2 	37614.9 	38836.6 	40418.1 	43278.1 
B1GQ,CP_MEUR,SK	45530.2 	56241.6 	66002.8 	64023.1 	67577.3 	70627.2 	72703.5 	74169.9 	76087.8 	78896.4 	81154.0 	84985.2 
B1GQ,CP_MEUR,TR	436278.4 	492841.2 	521812.2 	461925.9 	581023.8 	596491.2 	678483.7 	714313.4 	703411.6 	772978.8 	780224.9 	: 
