citizen,agedef,age,unit,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
TOTAL,REACH,TOTAL,NR,T,DE	707352 	661855 	680766 	682146 	346216 b	404055 	489422 	592175 	692713 	884893 	1543848 e	1029852 b
TOTAL,REACH,TOTAL,NR,T,DK	52458 	56750 	64656 	57357 b	51800 	52236 	52833 	54409 	60312 	68388 	78492 	74383 
TOTAL,REACH,TOTAL,NR,T,EE	1436 	2234 	3741 	3671 	3884 	2810 	3709 	2639 	4109 	3904 	15413 b	14822 
TOTAL,REACH,TOTAL,NR,T,EL	70933 	63094 	63298 	66529 	58613 	60462 	60089 b	58200 	57946 	59013 	64446 b	116867 b
TOTAL,REACH,TOTAL,NR,T,ES	719284 	840844 	958266 	599075 b	392962 	360705 	371331 	304053 	280772 	305454 	342114 	414746 
TOTAL,REACH,TOTAL,NR,T,FI	21355 	22451 	26029 	29114 	26699 	25636 	29481 	31278 	31941 	31507 	28746 	34905 
TOTAL,REACH,TOTAL,NR,T,FR	: 	301544 b	293980 	296608 	296970 	307111 b	319816 	327431 	338752 	340383 	364221 	378115 
TOTAL,REACH,TOTAL,NR,T,HR	: 	14978 	14622 	16883 b	13213 	8846 	8534 	8959 	10378 	10638 	11706 	13985 
TOTAL,REACH,TOTAL,NR,T,HU	27820 	25732 p	24361 	37652 b	27894 	25519 b	28018 	33702 	38968 	54581 	58344 	53618 
TOTAL,REACH,TOTAL,NR,T,IE	102000 	139434 b	122415 	82592 	50604 	52339 	57292 b	61324 	65539 	73519 	80792 	85185 
TOTAL,REACH,TOTAL,NR,T,IS	7773 	9832 	12546 	10288 	3921 b	3948 	4073 	4960 	6406 	5368 	5635 	8710 
TOTAL,REACH,TOTAL,NR,T,IT	304960 	279714 	527123 	534712 	442940 	458856 	385793 	350772 	307454 	277631 	280078 	300823 
